MS4644B
!6/25/2026.6:32:13.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
11,16.500000000,-2.039888E+001,-103.5336000,16.500000000,-3.159131E+000,94.2963000,16.500000000,-3.034096E+000,94.1810200,16.500000000,-2.209461E+001,-163.1255000
12,16.550000000,-2.031673E+001,-108.5299000,16.550000000,-3.093515E+000,84.1607200,16.550000000,-3.022425E+000,83.6635500,16.550000000,-2.255759E+001,-172.4406000
13,16.600000000,-2.042075E+001,-103.4553000,16.600000000,-3.028274E+000,73.5273200,16.600000000,-2.984915E+000,72.8973300,16.600000000,-2.443116E+001,176.7817000
14,16.650000000,-2.230818E+001,-102.7570000,16.650000000,-2.986710E+000,62.6966200,16.650000000,-3.011260E+000,62.2689400,16.650000000,-2.517923E+001,164.7108000
15,16.700000000,-2.457763E+001,-113.6099000,16.700000000,-2.964176E+000,51.5945000,16.700000000,-3.028466E+000,51.7968900,16.700000000,-2.588228E+001,155.6770000
16,16.750000000,-2.358603E+001,-121.1318000,16.750000000,-3.029670E+000,40.6221700,16.750000000,-3.026540E+000,41.0235500,16.750000000,-2.937251E+001,139.1603000
17,16.800000000,-2.348621E+001,-117.9618000,16.800000000,-3.068655E+000,29.7448600,16.800000000,-3.035293E+000,30.4319900,16.800000000,-3.613626E+001,129.7659000
18,16.850000000,-2.283458E+001,-116.2278000,16.850000000,-3.149794E+000,19.3827800,16.850000000,-3.029114E+000,19.6911200,16.850000000,-4.911547E+001,-0.2378397
19,16.900000000,-2.121412E+001,-112.2078000,16.900000000,-3.170392E+000,9.0735400,16.900000000,-3.049948E+000,9.0410350,16.900000000,-3.416653E+001,-50.3838900
20,16.950000000,-2.020437E+001,-104.3214000,16.950000000,-3.195592E+000,-1.2231960,16.950000000,-3.044479E+000,-1.5698570,16.950000000,-2.811498E+001,-65.5415400
21,17.000000000,-1.981896E+001,-100.7108000,17.000000000,-3.137090E+000,-11.4759200,17.000000000,-3.065479E+000,-12.4369700,17.000000000,-2.507955E+001,-82.8995100
22,17.050000000,-1.929179E+001,-103.8230000,17.050000000,-3.064441E+000,-22.2460700,17.050000000,-3.073201E+000,-22.9945600,17.050000000,-2.281563E+001,-92.4955000
23,17.100000000,-1.846746E+001,-109.3877000,17.100000000,-3.034268E+000,-33.4028800,17.100000000,-3.111696E+000,-33.5558700,17.100000000,-2.072316E+001,-100.1171000
24,17.150000000,-1.835987E+001,-115.8006000,17.150000000,-3.077482E+000,-44.6169200,17.150000000,-3.143457E+000,-44.2364700,17.150000000,-1.998476E+001,-113.2339000
25,17.200000000,-1.711165E+001,-127.5175000,17.200000000,-3.209988E+000,-55.4514000,17.200000000,-3.168839E+000,-54.8959700,17.200000000,-1.880408E+001,-128.8973000
26,17.250000000,-1.558086E+001,-131.4095000,17.250000000,-3.320072E+000,-65.5579000,17.250000000,-3.204024E+000,-65.4382300,17.250000000,-1.786092E+001,-137.9969000
27,17.300000000,-1.519198E+001,-131.5781000,17.300000000,-3.344234E+000,-75.6120200,17.300000000,-3.179549E+000,-75.6912500,17.300000000,-1.773341E+001,-144.7332000
28,17.350000000,-1.536267E+001,-137.5096000,17.350000000,-3.337935E+000,-85.4987800,17.350000000,-3.194520E+000,-86.6204200,17.350000000,-1.789314E+001,-160.3574000
29,17.400000000,-1.487893E+001,-141.1123000,17.400000000,-3.161727E+000,-95.6606100,17.400000000,-3.197947E+000,-97.2789300,17.400000000,-1.778082E+001,-173.1098000
30,17.450000000,-1.582472E+001,-141.3003000,17.450000000,-3.101777E+000,-107.0892000,17.450000000,-3.179219E+000,-107.6564000,17.450000000,-1.784356E+001,-178.7300000
31,17.500000000,-1.734702E+001,-150.1661000,17.500000000,-3.133866E+000,-118.2149000,17.500000000,-3.206340E+000,-118.1801000,17.500000000,-1.848400E+001,169.1556000
32,17.550000000,-1.748945E+001,-162.0197000,17.550000000,-3.172049E+000,-129.0068000,17.550000000,-3.203471E+000,-128.7359000,17.550000000,-1.985590E+001,154.7515000
33,17.600000000,-1.754044E+001,-166.8869000,17.600000000,-3.278733E+000,-140.0181000,17.600000000,-3.200610E+000,-139.4010000,17.600000000,-2.085932E+001,143.5539000
34,17.650000000,-1.793616E+001,-168.4056000,17.650000000,-3.339158E+000,-149.7808000,17.650000000,-3.208889E+000,-149.7401000,17.650000000,-2.258386E+001,136.2099000
35,17.700000000,-1.805856E+001,-170.4270000,17.700000000,-3.252748E+000,-160.1436000,17.700000000,-3.181422E+000,-160.6386000,17.700000000,-2.666816E+001,117.5101000
36,17.750000000,-1.787704E+001,-165.7824000,17.750000000,-3.246316E+000,-170.7020000,17.750000000,-3.205424E+000,-171.3783000,17.750000000,-3.080256E+001,94.8776300
37,17.800000000,-1.864282E+001,-158.2955000,17.800000000,-3.218842E+000,178.8151000,17.800000000,-3.188754E+000,178.0335000,17.800000000,-4.211496E+001,68.0007900
38,17.850000000,-1.920122E+001,-156.0070000,17.850000000,-3.131707E+000,167.9515000,17.850000000,-3.197092E+000,167.2016000,17.850000000,-3.407990E+001,-68.0465000
39,17.900000000,-1.892081E+001,-158.6309000,17.900000000,-3.180167E+000,156.3312000,17.900000000,-3.243208E+000,156.6210000,17.900000000,-2.654090E+001,-79.8182600
40,17.950000000,-1.835289E+001,-157.7660000,17.950000000,-3.247364E+000,145.8282000,17.950000000,-3.239836E+000,145.8100000,17.950000000,-2.302590E+001,-100.4831000
41,18.000000000,-1.789716E+001,-165.5323000,18.000000000,-3.293034E+000,135.0287000,18.000000000,-3.295794E+000,135.3252000,18.000000000,-2.054846E+001,-113.3190000
42,18.050000000,-1.612961E+001,-170.6823000,18.050000000,-3.377687E+000,124.7264000,18.050000000,-3.287863E+000,124.7622000,18.050000000,-1.915362E+001,-120.7841000
43,18.100000000,-1.490651E+001,-168.0863000,18.100000000,-3.390576E+000,114.9765000,18.100000000,-3.333035E+000,113.8850000,18.100000000,-1.815468E+001,-134.0064000
44,18.150000000,-1.511920E+001,-169.7593000,18.150000000,-3.310675E+000,104.3267000,18.150000000,-3.318610E+000,103.5860000,18.150000000,-1.685380E+001,-146.7945000
45,18.200000000,-1.504692E+001,-175.7908000,18.200000000,-3.304118E+000,93.4810600,18.200000000,-3.325053E+000,92.6822400,18.200000000,-1.630089E+001,-153.5298000
46,18.250000000,-1.491100E+001,-179.6216000,18.250000000,-3.237700E+000,82.7279600,18.250000000,-3.343328E+000,82.2499100,18.250000000,-1.619111E+001,-160.9083000
47,18.300000000,-1.593059E+001,176.5036000,18.300000000,-3.273363E+000,71.6878300,18.300000000,-3.348931E+000,71.4897500,18.300000000,-1.597039E+001,-175.2390000
48,18.350000000,-1.705135E+001,160.2133000,18.350000000,-3.375841E+000,61.0724000,18.350000000,-3.376723E+000,61.2537200,18.350000000,-1.613730E+001,174.6602000
49,18.400000000,-1.657988E+001,148.5918000,18.400000000,-3.409875E+000,50.8815200,18.400000000,-3.369939E+000,50.9037600,18.400000000,-1.661944E+001,169.5426000
50,18.450000000,-1.638665E+001,144.9206000,18.450000000,-3.394832E+000,40.5113600,18.450000000,-3.367164E+000,40.2874100,18.450000000,-1.753884E+001,159.6741000
51,18.500000000,-1.745865E+001,139.6942000,18.500000000,-3.375389E+000,30.0053500,18.500000000,-3.381800E+000,29.7191200,18.500000000,-1.839083E+001,146.7455000
52,18.550000000,-1.804031E+001,134.7285000,18.550000000,-3.321305E+000,19.2487100,18.550000000,-3.356064E+000,19.1923700,18.550000000,-1.939895E+001,142.8164000
53,18.600000000,-1.944221E+001,138.4973000,18.600000000,-3.305054E+000,8.4902770,18.600000000,-3.351016E+000,8.3858560,18.600000000,-2.103829E+001,138.8152000
54,18.650000000,-2.262642E+001,138.8004000,18.650000000,-3.323951E+000,-2.1522940,18.650000000,-3.369562E+000,-2.3016750,18.650000000,-2.351697E+001,128.2592000
55,18.700000000,-2.508508E+001,129.7816000,18.700000000,-3.341310E+000,-12.8296400,18.700000000,-3.350394E+000,-12.9429300,18.700000000,-2.602708E+001,127.6198000
56,18.750000000,-2.657142E+001,136.5093000,18.750000000,-3.350649E+000,-23.5234500,18.750000000,-3.343094E+000,-23.6031700,18.750000000,-2.798987E+001,148.9498000
57,18.800000000,-2.788041E+001,145.0391000,18.800000000,-3.350438E+000,-34.1596600,18.800000000,-3.336065E+000,-34.2069800,18.800000000,-2.887043E+001,175.0855000
58,18.850000000,-2.611473E+001,151.2128000,18.850000000,-3.357404E+000,-44.8098000,18.850000000,-3.346114E+000,-44.9297800,18.850000000,-2.810286E+001,-169.4622000
59,18.900000000,-2.259877E+001,160.5705000,18.900000000,-3.339689E+000,-55.2588000,18.900000000,-3.366496E+000,-55.5491400,18.900000000,-2.523328E+001,-166.2538000
60,18.950000000,-2.034469E+001,177.8645000,18.950000000,-3.316507E+000,-66.0515800,18.950000000,-3.354358E+000,-66.2149700,18.950000000,-2.307292E+001,-168.5328000
61,19.000000000,-2.060570E+001,-172.5844000,19.000000000,-3.329793E+000,-76.8246400,19.000000000,-3.370368E+000,-77.2439000,19.000000000,-2.245248E+001,-170.6903000
62,19.050000000,-2.113634E+001,-178.5777000,19.050000000,-3.365010E+000,-87.7056400,19.050000000,-3.398777E+000,-87.7286700,19.050000000,-2.133155E+001,-175.8263000
63,19.100000000,-2.051918E+001,177.6871000,19.100000000,-3.375887E+000,-98.4195600,19.100000000,-3.368715E+000,-98.5582600,19.100000000,-2.003688E+001,177.3645000
64,19.150000000,-2.264731E+001,-179.8951000,19.150000000,-3.391759E+000,-109.0202000,19.150000000,-3.432257E+000,-109.2584000,19.150000000,-2.017750E+001,169.2733000
65,19.200000000,-2.590128E+001,152.4205000,19.200000000,-3.394616E+000,-119.3721000,19.200000000,-3.425399E+000,-119.5091000,19.200000000,-2.057221E+001,164.7840000
66,19.250000000,-2.313711E+001,127.7374000,19.250000000,-3.397394E+000,-130.0055000,19.250000000,-3.413773E+000,-130.1686000,19.250000000,-2.033405E+001,156.4255000
67,19.300000000,-2.286997E+001,131.2879000,19.300000000,-3.414752E+000,-140.6943000,19.300000000,-3.445776E+000,-140.7912000,19.300000000,-2.061010E+001,154.6809000
68,19.350000000,-2.516189E+001,132.9000000,19.350000000,-3.408154E+000,-151.4313000,19.350000000,-3.453289E+000,-151.3583000,19.350000000,-2.188140E+001,156.4221000
69,19.400000000,-2.663493E+001,135.7222000,19.400000000,-3.425598E+000,-162.3780000,19.400000000,-3.431318E+000,-162.1317000,19.400000000,-2.233650E+001,152.3069000
70,19.450000000,-2.971636E+001,168.1948000,19.450000000,-3.439915E+000,-172.9557000,19.450000000,-3.474415E+000,-172.8820000,19.450000000,-2.233679E+001,152.3151000
71,19.500000000,-2.967905E+001,-133.5048000,19.500000000,-3.430585E+000,176.4978000,19.500000000,-3.469878E+000,176.5537000,19.500000000,-2.280173E+001,162.0903000
72,19.550000000,-2.870208E+001,-109.1269000,19.550000000,-3.436512E+000,165.7844000,19.550000000,-3.426680E+000,165.4795000,19.550000000,-2.258094E+001,169.7287000
73,19.600000000,-2.652360E+001,-119.0300000,19.600000000,-3.506340E+000,155.0607000,19.600000000,-3.519181E+000,155.0019000,19.600000000,-2.197134E+001,166.5377000
74,19.650000000,-2.381651E+001,-128.9590000,19.650000000,-3.524568E+000,144.6663000,19.650000000,-3.475858E+000,144.7024000,19.650000000,-2.059975E+001,165.8505000
75,19.700000000,-2.250290E+001,-141.7739000,19.700000000,-3.495112E+000,134.0258000,19.700000000,-3.496357E+000,133.4853000,19.700000000,-1.960379E+001,167.4280000
76,19.750000000,-1.967711E+001,-158.8106000,19.750000000,-3.467986E+000,123.3577000,19.750000000,-3.587355E+000,123.3927000,19.750000000,-1.918509E+001,158.7405000
77,19.800000000,-1.662510E+001,-159.7131000,19.800000000,-3.416934E+000,112.1468000,19.800000000,-3.559472E+000,112.9444000,19.800000000,-1.894696E+001,152.5544000
78,19.850000000,-1.593686E+001,-155.1440000,19.850000000,-3.492388E+000,101.0200000,19.850000000,-3.595774E+000,101.6412000,19.850000000,-1.821994E+001,147.1485000
79,19.900000000,-1.693350E+001,-161.9562000,19.900000000,-3.655491E+000,90.5049300,19.900000000,-3.624089E+000,91.2743400,19.900000000,-1.759474E+001,139.1780000
80,19.950000000,-1.651860E+001,-169.1066000,19.950000000,-3.744665E+000,80.4166100,19.950000000,-3.593257E+000,80.8510300,19.950000000,-1.810270E+001,132.3650000
81,20.000000000,-1.728022E+001,-171.1219000,20.000000000,-3.714524E+000,70.3205900,20.000000000,-3.637125E+000,70.0449600,20.000000000,-1.884320E+001,123.3689000
82,20.050000000,-1.953946E+001,176.6994000,20.050000000,-3.622798E+000,60.4208200,20.050000000,-3.651275E+000,59.7892900,20.050000000,-1.945996E+001,115.6689000
83,20.100000000,-1.929460E+001,156.4598000,20.100000000,-3.488691E+000,49.5819800,20.100000000,-3.553916E+000,49.1400000,20.100000000,-2.018693E+001,107.0388000
84,20.150000000,-1.822273E+001,155.5622000,20.150000000,-3.514884E+000,38.1397300,20.150000000,-3.621773E+000,38.4861000,20.150000000,-2.216243E+001,104.3890000
85,20.200000000,-1.906626E+001,157.5183000,20.200000000,-3.572296E+000,27.0742400,20.200000000,-3.603870E+000,28.0874300,20.200000000,-2.442471E+001,102.3392000
86,20.250000000,-1.956619E+001,160.4002000,20.250000000,-3.647079E+000,16.2840400,20.250000000,-3.564484E+000,17.1241300,20.250000000,-2.700203E+001,102.2647000
87,20.300000000,-1.981728E+001,169.6676000,20.300000000,-3.721711E+000,5.6850250,20.300000000,-3.609170E+000,6.2116480,20.300000000,-3.070280E+001,124.4806000
88,20.350000000,-2.037435E+001,-175.0306000,20.350000000,-3.744961E+000,-4.6468530,20.350000000,-3.629341E+000,-4.4440400,20.350000000,-3.020758E+001,161.5895000
89,20.400000000,-2.159458E+001,-170.9710000,20.400000000,-3.746688E+000,-14.7746000,20.400000000,-3.585511E+000,-15.2213500,20.400000000,-2.661721E+001,173.1037000
90,20.450000000,-2.019027E+001,-177.2888000,20.450000000,-3.718189E+000,-24.8177000,20.450000000,-3.683164E+000,-26.1692400,20.450000000,-2.336975E+001,177.0092000
91,20.500000000,-1.864818E+001,-175.3674000,20.500000000,-3.659773E+000,-35.6618500,20.500000000,-3.737550E+000,-36.2071500,20.500000000,-2.112414E+001,173.4460000
92,20.550000000,-1.757470E+001,179.9800000,20.550000000,-3.586618E+000,-46.6005700,20.550000000,-3.653289E+000,-47.1383800,20.550000000,-1.940123E+001,161.0684000
93,20.600000000,-1.543038E+001,171.6000000,20.600000000,-3.560598E+000,-58.7837600,20.600000000,-3.799458E+000,-57.3517300,20.600000000,-1.805710E+001,152.6477000
94,20.650000000,-1.376178E+001,173.5576000,20.650000000,-3.832124E+000,-69.9934800,20.650000000,-3.790072E+000,-67.7470200,20.650000000,-1.685646E+001,148.7599000
95,20.700000000,-1.375281E+001,175.3640000,20.700000000,-3.982827E+000,-80.1018800,20.700000000,-3.824273E+000,-78.9658700,20.700000000,-1.646770E+001,136.3104000
96,20.750000000,-1.411545E+001,167.1047000,20.750000000,-4.178528E+000,-89.7924800,20.750000000,-3.819051E+000,-88.8533200,20.750000000,-1.608850E+001,122.0311000
97,20.800000000,-1.406929E+001,160.3292000,20.800000000,-4.133046E+000,-97.4196500,20.800000000,-3.822575E+000,-99.7807100,20.800000000,-1.562179E+001,116.2652000
98,20.850000000,-1.443513E+001,153.9848000,20.850000000,-3.804728E+000,-108.3097000,20.850000000,-3.907054E+000,-110.7032000,20.850000000,-1.590164E+001,107.1714000
99,20.900000000,-1.532272E+001,142.6223000,20.900000000,-3.650252E+000,-119.1825000,20.900000000,-3.863835E+000,-120.2019000,20.900000000,-1.647850E+001,94.0058200
100,20.950000000,-1.446541E+001,128.1597000,20.950000000,-3.445219E+000,-131.5539000,20.950000000,-3.692211E+000,-131.0570000,20.950000000,-1.698432E+001,82.3010600
101,21.000000000,-1.401704E+001,127.5208000,21.000000000,-3.728397E+000,-143.7711000,21.000000000,-3.793056E+000,-141.9582000,21.000000000,-1.775086E+001,75.2692300
102,21.050000000,-1.481315E+001,127.1318000,21.050000000,-3.989851E+000,-153.5499000,21.050000000,-3.775167E+000,-152.2923000,21.050000000,-1.899733E+001,64.1922000
103,21.100000000,-1.554741E+001,124.9383000,21.100000000,-4.061690E+000,-163.2017000,21.100000000,-3.681059E+000,-163.2322000,21.100000000,-2.124739E+001,51.2106200
104,21.150000000,-1.617618E+001,126.4532000,21.150000000,-4.060907E+000,-172.6370000,21.150000000,-3.772794E+000,-173.9448000,21.150000000,-2.416069E+001,40.4931000
105,21.200000000,-1.776169E+001,129.3531000,21.200000000,-3.875435E+000,177.4549000,21.200000000,-3.762195E+000,175.3838000,21.200000000,-2.780523E+001,35.0780400
106,21.250000000,-1.902492E+001,122.8679000,21.250000000,-3.654058E+000,166.5882000,21.250000000,-3.792121E+000,164.5392000,21.250000000,-3.980391E+001,25.0491200
107,21.300000000,-1.802803E+001,124.3813000,21.300000000,-3.540399E+000,154.9792000,21.300000000,-3.816113E+000,153.7363000,21.300000000,-3.370068E+001,-169.0706000
108,21.350000000,-1.771478E+001,130.8803000,21.350000000,-3.624973E+000,143.5568000,21.350000000,-3.847624E+000,143.4660000,21.350000000,-2.630424E+001,175.4094000
109,21.400000000,-1.690017E+001,130.5916000,21.400000000,-3.581541E+000,131.7414000,21.400000000,-3.789084E+000,132.8297000,21.400000000,-2.318534E+001,165.3099000
110,21.450000000,-1.535798E+001,130.8689000,21.450000000,-3.912409E+000,120.0489000,21.450000000,-3.901639E+000,121.8792000,21.450000000,-2.023611E+001,158.2767000
111,21.500000000,-1.450121E+001,137.7232000,21.500000000,-4.176494E+000,111.1607000,21.500000000,-3.875952E+000,111.9157000,21.500000000,-1.823164E+001,144.0004000
112,21.550000000,-1.499283E+001,136.2536000,21.550000000,-4.063583E+000,101.3068000,21.550000000,-3.800800E+000,100.4717000,21.550000000,-1.721852E+001,131.7295000
113,21.600000000,-1.549465E+001,128.1666000,21.600000000,-4.090071E+000,92.1498200,21.600000000,-4.002451E+000,90.5987900,21.600000000,-1.693901E+001,124.9723000
114,21.650000000,-1.477361E+001,119.4328000,21.650000000,-3.689721E+000,82.5969200,21.650000000,-3.887057E+000,79.9239800,21.650000000,-1.618274E+001,114.3031000
115,21.700000000,-1.493052E+001,114.1342000,21.700000000,-3.503102E+000,69.7945600,21.700000000,-3.846374E+000,68.9370200,21.700000000,-1.583309E+001,100.8313000
116,21.750000000,-1.522638E+001,101.3691000,21.750000000,-3.602181E+000,57.8891400,21.750000000,-3.972403E+000,58.3167400,21.750000000,-1.589310E+001,93.4035600
117,21.800000000,-1.412898E+001,92.4347800,21.800000000,-3.717983E+000,45.6480100,21.800000000,-3.854954E+000,48.5193500,21.800000000,-1.627137E+001,84.6402600
118,21.850000000,-1.416147E+001,94.9038200,21.850000000,-4.085876E+000,35.6585000,21.850000000,-3.826663E+000,36.8732400,21.850000000,-1.689502E+001,72.0611600
119,21.900000000,-1.552586E+001,92.4922100,21.900000000,-4.195389E+000,26.6043100,21.900000000,-3.811181E+000,26.7945500,21.900000000,-1.768990E+001,61.2340700
120,21.950000000,-1.637662E+001,87.6828200,21.950000000,-4.109234E+000,18.0272900,21.950000000,-3.851170E+000,15.7991100,21.950000000,-1.883339E+001,56.8717500
121,22.000000000,-1.779149E+001,88.4655300,22.000000000,-3.793888E+000,7.4299530,22.000000000,-3.947929E+000,4.9764740,22.000000000,-2.075895E+001,50.7152600
122,22.050000000,-2.007540E+001,86.7077300,22.050000000,-3.713946E+000,-4.3675750,22.050000000,-3.940207E+000,-5.1512880,22.050000000,-2.326971E+001,44.8122600
123,22.100000000,-2.084596E+001,79.2225900,22.100000000,-3.635579E+000,-15.7082400,22.100000000,-3.895513E+000,-16.0851600,22.100000000,-2.717015E+001,45.3548300
124,22.150000000,-1.981600E+001,89.0300500,22.150000000,-3.644516E+000,-27.5806300,22.150000000,-3.937942E+000,-26.8317700,22.150000000,-3.026820E+001,74.6869300
125,22.200000000,-1.987265E+001,102.8131000,22.200000000,-3.837395E+000,-38.6711100,22.200000000,-3.902361E+000,-37.2221900,22.200000000,-3.007490E+001,110.3622000
126,22.250000000,-1.964958E+001,108.5276000,22.250000000,-3.930908E+000,-48.8689700,22.250000000,-3.910490E+000,-48.0956800,22.250000000,-2.689417E+001,130.2972000
127,22.300000000,-1.759333E+001,110.8297000,22.300000000,-4.056803E+000,-60.0254900,22.300000000,-3.927837E+000,-58.7414200,22.300000000,-2.247908E+001,122.8508000
128,22.350000000,-1.654504E+001,120.8043000,22.350000000,-4.244294E+000,-69.1505300,22.350000000,-3.863948E+000,-69.5442400,22.350000000,-2.105686E+001,113.4156000
129,22.400000000,-1.743215E+001,122.1038000,22.400000000,-4.094540E+000,-78.3068400,22.400000000,-3.973423E+000,-80.2864200,22.400000000,-1.951911E+001,107.7768000
130,22.450000000,-1.792851E+001,108.7451000,22.450000000,-3.788139E+000,-88.8735400,22.450000000,-4.010208E+000,-90.7598800,22.450000000,-1.819053E+001,101.2227000
131,22.500000000,-1.619700E+001,97.7347900,22.500000000,-3.681324E+000,-100.9521000,22.500000000,-3.914796E+000,-101.9442000,22.500000000,-1.778803E+001,89.5939900
132,22.550000000,-1.638432E+001,96.0918700,22.550000000,-3.643379E+000,-112.4118000,22.550000000,-4.019842E+000,-111.7554000,22.550000000,-1.777401E+001,80.4619100
133,22.600000000,-1.620387E+001,81.0078400,22.600000000,-3.875386E+000,-125.0107000,22.600000000,-3.928716E+000,-123.1208000,22.600000000,-1.737488E+001,70.8464000
134,22.650000000,-1.529209E+001,77.4688100,22.650000000,-4.168639E+000,-135.4464000,22.650000000,-4.078712E+000,-134.0197000,22.650000000,-1.730736E+001,62.5194500
135,22.700000000,-1.542313E+001,79.9651900,22.700000000,-4.315454E+000,-143.9004000,22.700000000,-3.975691E+000,-144.0580000,22.700000000,-1.850031E+001,53.4427000
136,22.750000000,-1.696992E+001,78.3651000,22.750000000,-4.121328E+000,-153.9558000,22.750000000,-4.005216E+000,-154.2683000,22.750000000,-1.961994E+001,44.6328100
137,22.800000000,-1.789116E+001,72.1414800,22.800000000,-4.112726E+000,-163.3947000,22.800000000,-4.007877E+000,-165.7360000,22.800000000,-2.036390E+001,36.9257700
138,22.850000000,-1.906910E+001,73.3661300,22.850000000,-3.792256E+000,-174.4524000,22.850000000,-4.093608E+000,-175.8782000,22.850000000,-2.276176E+001,32.6453800
139,22.900000000,-2.128010E+001,73.2377200,22.900000000,-3.797482E+000,173.5740000,22.900000000,-4.024700E+000,173.5509000,22.900000000,-2.628325E+001,33.7874000
