MS4644B
!
!==== DERIVED FILE -- NOT A VNA MEASUREMENT ====
!Source sweep : SA_Cable_Loss_260821.csv (measured 2026-08-20, see the MS4644B header below)
!Change       : S12 and S21 magnitudes shifted by -1.0 dB across the whole band
!Reason       : a connector on the EVB -> SA path was swapped on 2026-09-02 and
!               added about 1 dB of loss. The cable itself was not re-measured.
!Scope        : S11/S22 are untouched -- only the through paths carry the extra loss.
!Supersedes   : SA_Cable_Loss_260821.csv (latest date wins in loss.latest_files)
!TODO         : replace this with a real VNA sweep of the current cable, then delete it.
!===============================================
!
!8/20/2026.7:10:03.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG            ,LOGMAG            ,LOGMAG            ,LOGMAG            
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     ,NOT.INSTALLED     
!Reference Plane Port Info
!PORT:        ,PORT1             ,PORT2             
!DISTANCE:    ,0  m              ,0  m              
!TIME:        ,0  s              ,0  s              
!PHASE OFFSET:,0  deg.           ,0  deg.           
!LOSS:        ,0  dB             ,0  dB             
!REF.LOSS:    ,0  dB             ,0  dB             
!REF.FREQ:    ,0  Hz             ,0  Hz             
!Power Info
!POWER:       ,5  dBm            ,5  dBm            
!EFF.POWER:   ,5  dBm            ,5  dBm            
!SOURCE.ATTEN:,0  dB             ,0  dB             
!TEST.ATTEN:  ,0  dB             ,0  dB             
!SWEEPTYPE: FREQ.SWEEP(Linear)
!
!
!
!
!
!
!
!
!
!
!
!
PNT,FREQ1.GHZ,LOGMAG1,FREQ2.GHZ,LOGMAG2,FREQ3.GHZ,LOGMAG3,FREQ4.GHZ,LOGMAG4
18,28.700000000,-2.892852E+001,28.700000000,-4.891566E+00,28.700000000,-4.884548E+00,28.700000000,-2.527715E+001
19,28.800000000,-2.743776E+001,28.800000000,-4.886738E+00,28.800000000,-4.865304E+00,28.800000000,-2.497675E+001
20,28.900000000,-4.214847E+001,28.900000000,-4.885504E+00,28.900000000,-4.911520E+00,28.900000000,-2.960503E+001
21,29.000000000,-3.115314E+001,29.000000000,-4.912946E+00,29.000000000,-4.888580E+00,29.000000000,-2.757378E+001
22,29.100000000,-2.796897E+001,29.100000000,-4.900737E+00,29.100000000,-4.887100E+00,29.100000000,-2.487685E+001
23,29.200000000,-3.312314E+001,29.200000000,-4.906505E+00,29.200000000,-4.952217E+00,29.200000000,-2.837712E+001
24,29.300000000,-3.920309E+001,29.300000000,-4.928023E+00,29.300000000,-4.913731E+00,29.300000000,-2.844931E+001
25,29.400000000,-2.878315E+001,29.400000000,-4.921281E+00,29.400000000,-4.918793E+00,29.400000000,-2.643383E+001
26,29.500000000,-2.741676E+001,29.500000000,-4.938347E+00,29.500000000,-5.002833E+00,29.500000000,-2.562118E+001
27,29.600000000,-3.984637E+001,29.600000000,-4.935020E+00,29.600000000,-4.975312E+00,29.600000000,-3.032493E+001
28,29.700000000,-3.343935E+001,29.700000000,-4.946661E+00,29.700000000,-4.930493E+00,29.700000000,-2.804405E+001
29,29.800000000,-2.957283E+001,29.800000000,-4.968466E+00,29.800000000,-4.991489E+00,29.800000000,-2.693659E+001
30,29.900000000,-3.394962E+001,29.900000000,-4.961244E+00,29.900000000,-5.032854E+00,29.900000000,-3.101754E+001
31,30.000000000,-3.359433E+001,30.000000000,-4.979161E+00,30.000000000,-4.954402E+00,30.000000000,-2.917243E+001
32,30.100000000,-2.699532E+001,30.100000000,-4.972495E+00,30.100000000,-5.023773E+00,30.100000000,-2.577809E+001
33,30.200000000,-3.020431E+001,30.200000000,-5.000859E+00,30.200000000,-5.054738E+00,30.200000000,-3.014871E+001
34,30.300000000,-4.393919E+001,30.300000000,-4.998374E+00,30.300000000,-4.993819E+00,30.300000000,-3.223349E+001
35,30.400000000,-3.058763E+001,30.400000000,-4.994193E+00,30.400000000,-5.035553E+00,30.400000000,-2.685808E+001
36,30.500000000,-2.829252E+001,30.500000000,-5.022770E+00,30.500000000,-5.087010E+00,30.500000000,-2.855205E+001
37,30.600000000,-3.356623E+001,30.600000000,-5.015437E+00,30.600000000,-5.019107E+00,30.600000000,-3.359667E+001
38,30.700000000,-3.191635E+001,30.700000000,-5.028947E+00,30.700000000,-5.000223E+00,30.700000000,-2.859374E+001
39,30.800000000,-2.634638E+001,30.800000000,-5.019460E+00,30.800000000,-5.114829E+00,30.800000000,-2.628624E+001
40,30.900000000,-3.059340E+001,30.900000000,-5.050215E+00,30.900000000,-5.104107E+00,30.900000000,-3.048544E+001
41,31.000000000,-3.950490E+001,31.000000000,-5.040100E+00,31.000000000,-5.030209E+00,31.000000000,-3.068354E+001
42,31.100000000,-2.628881E+001,31.100000000,-5.035618E+00,31.100000000,-5.039182E+00,31.100000000,-2.609384E+001
43,31.200000000,-2.518698E+001,31.200000000,-5.073404E+00,31.200000000,-4.991694E+00,31.200000000,-2.527110E+001
44,31.300000000,-3.549329E+001,31.300000000,-5.050440E+00,31.300000000,-5.056579E+00,31.300000000,-3.651247E+001
45,31.400000000,-2.703814E+001,31.400000000,-5.075867E+00,31.400000000,-5.096893E+00,31.400000000,-2.703533E+001
46,31.500000000,-2.660632E+001,31.500000000,-5.043802E+00,31.500000000,-5.070480E+00,31.500000000,-2.630574E+001
47,31.600000000,-3.615699E+001,31.600000000,-5.106409E+00,31.600000000,-5.109198E+00,31.600000000,-2.895008E+001
48,31.700000000,-2.748152E+001,31.700000000,-5.102288E+00,31.700000000,-4.913042E+00,31.700000000,-2.442852E+001
49,31.800000000,-2.364165E+001,31.800000000,-5.110246E+00,31.800000000,-5.004328E+00,31.800000000,-2.360363E+001
50,31.900000000,-2.934968E+001,31.900000000,-5.116514E+00,31.900000000,-5.182582E+00,31.900000000,-2.676039E+001
51,32.000000000,-3.282034E+001,32.000000000,-5.106875E+00,32.000000000,-5.006463E+00,32.000000000,-2.734466E+001
